Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_1_cat,Symptom_2_cat,Symptom_3_cat,Symptom_4_cat,Symptom_5_cat,Symptom_6_cat,Symptom_7_cat,Symptom_8_cat,Symptom_9_cat,Symptom_10_cat,Symptom_11_cat,Symptom_12_cat,Symptom_13_cat,Symptom_14_cat,Symptom_15_cat,Symptom_16_cat,Symptom_17_cat
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,10,9,42,1,22,21,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,42,1,22,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,9,1,22,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,9,42,22,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,9,42,1,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,None,None,None,None,None,None,None,None,None,None,None,None,10,9,42,1,22,74,74,74,74,74,74,74,74,74,74,74,74
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,9,42,1,22,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,42,1,22,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,9,1,22,21,74,74,74,74,74,74,74,74,74,74,74,74
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,None,None,None,None,None,None,None,None,None,None,None,None,10,9,42,22,21,74,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,3,1,19,40,46,54,86,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,None,1,19,40,46,54,86,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,None,3,19,40,46,54,86,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,None,3,1,40,46,54,86,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,None,3,1,19,46,54,86,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,None,3,1,19,40,54,86,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,None,3,1,19,40,46,86,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,None,None,None,None,None,None,None,None,None,None,None,3,1,19,40,46,54,74,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,3,1,19,40,46,54,86,74,74,74,74,74,74,74,74,74,74
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,None,None,None,None,None,None,None,None,None,None,3,1,19,40,46,54,86,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,3,4,10,13,76,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,3,10,13,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,13,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,10,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,10,13,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,4,10,13,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,3,10,13,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,burning_micturition,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,13,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,stomach_pain,spotting_urination,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,10,76,74,74,74,74,74,74,74,74,74,74,74,74,74
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,None,None,None,None,None,None,None,None,None,None,None,None,None,3,4,10,13,74,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,1,46,54,78,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,1,25,54,78,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,25,46,54,78,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,1,46,54,78,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,1,25,54,78,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,1,25,46,78,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,None,None,None,None,None,None,None,None,None,None,None,None,1,25,46,54,88,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,None,None,None,None,None,None,None,None,None,None,None,None,1,25,46,54,78,74,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,1,25,46,54,78,88,74,74,74,74,74,74,74,74,74,74,74
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,None,None,None,None,None,None,None,None,None,None,None,1,25,46,54,78,88,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,14,24,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,patches_in_throat,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,24,63,74,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,patches_in_throat,high_fever,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,24,34,74,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,14,24,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,14,24,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,patches_in_throat,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,high_fever,extra_marital_contacts,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,34,63,74,74,74,74,74,74,74,74,74,74,74,74,74,74
AIDS,muscle_wasting,patches_in_throat,high_fever,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,24,34,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,2,29,47,52,83,65,69,82,108,114,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,2,29,47,52,83,65,69,82,108,114,74,74,74,74,74,74,74
Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,29,47,52,83,65,69,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,47,52,83,65,69,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,29,52,83,65,69,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,29,47,83,65,69,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,29,47,52,65,69,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,29,47,52,83,69,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,29,47,52,83,65,82,108,114,74,74,74,74,74,74,74,74
Diabetes ,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,None,None,None,None,None,None,None,None,2,29,47,52,83,65,69,108,114,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,1,23,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,1,23,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,23,56,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,sunken_eyes,dehydration,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,23,35,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,1,23,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,dehydration,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,35,56,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,23,56,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,2,22,34,18,77,89,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,22,34,18,77,89,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,2,34,18,77,89,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,2,22,18,77,89,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,2,22,34,77,89,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,2,22,34,18,89,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,None,None,None,None,None,None,None,None,None,None,None,None,2,22,34,18,77,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,2,22,34,18,77,89,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,22,34,18,77,89,74,74,74,74,74,74,74,74,74,74,74,74
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,None,None,None,None,None,None,None,None,None,None,None,None,2,34,18,77,89,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,8,21,37,61,75,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,21,37,61,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,8,37,61,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,8,21,61,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,chest_pain,dizziness,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,8,21,37,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,chest_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,8,21,37,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,8,21,37,61,75,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,21,37,61,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,8,37,61,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration,None,None,None,None,None,None,None,None,None,None,None,None,None,8,21,61,75,74,74,74,74,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,9,25,8,65,82,32,99,106,107,74,74,74,74,74,74,74,74
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,25,8,65,82,32,99,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,9,8,65,82,32,99,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,9,25,65,82,32,99,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,9,25,8,82,32,99,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,9,25,8,65,32,99,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,9,25,8,65,82,99,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,None,None,None,None,None,None,None,None,None,9,25,8,65,82,32,106,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,None,None,None,None,None,None,None,None,None,9,25,8,65,82,32,99,107,74,74,74,74,74,74,74,74,74
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,None,None,None,None,None,None,None,None,None,9,25,8,65,82,32,99,106,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,15,20,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,15,20,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,20,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,15,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,15,20,37,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,15,20,31,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,None,None,None,None,None,None,None,None,None,None,None,None,None,15,20,31,37,74,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,15,20,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,20,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,None,None,None,None,None,None,None,None,None,None,None,None,None,15,31,37,61,74,74,74,74,74,74,74,74,74,74,74,74,74
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,None,None,None,None,None,None,None,None,None,None,None,None,None,1,8,36,59,74,74,74,74,74,74,74,74,74,74,74,74,74
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,None,None,None,None,None,None,None,None,None,None,None,None,None,1,8,36,59,74,74,74,74,74,74,74,74,74,74,74,74,74
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,36,59,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,36,59,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,8,59,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,8,36,74,74,74,74,74,74,74,74,74,74,74,74,74,74
